store_id,store_grade,store_name,member_id ,member_name,order_count,score,phone,store_qq,store_email,area_info,store_address,page
422145,3332,花精灵鲜花官方店,168892,SH2018,955,5,13817938173、13761615116,363672770,10190897@qq.com,上海市嘉定区,上海市嘉定区玉麦路388号莱英北郡,1
306114,332,欣然花店,31099,欣然花店,5267,5,13714465982、13418629580,2977429949,582358195@qq.com,广东省深圳市龙华新区,民治街道中环路（原联丰表壳厂）F栋2楼203,1
297540,22,蝶恋鲜花店,1538,深圳蝶恋鲜花,482,5,13316853961,758942756,758942756@qq.com,广东省深圳市福田区,福安街72号,1
332618,33,杭州123,62058,杭州123,20310,5,17767156521,2170835275,2170835275@qq.com,浙江省杭州市江干区,凤起东路,1
205867,3311,漳州美阁花店,22695,漳州美阁花店,1980,5,18759661722、15606055588,754328968,754328968@qq.com,福建省漳州市芗城区,苍园路18-3号,1
277865,33311,桐乡浪漫花坊鲜花总店,20705,浪漫花坊,198,5,13819030623,393023393,393023393@qq.com,浙江省嘉兴市桐乡市,中山东路655号 新世纪公园对面往西200米,1
215933,332211,楚楚花坊,13339,楚楚花坊,259,5,15321571049、4000571314,2248805355,930916331@qq.com,北京市丰台区,南四环中路256号,1
300005,332111,天津花儿时间鲜花店,23661,天津花娃鲜花店,66,5,13821616272、18698067679,58694089,iiflowertime@qq.com,天津市南开区,广开三马路与广开南街交口,1
231945,3321,苏州吴江好运花店,22194,吴江好运花店,881,5,15365363663,505201000,505201000@qq.com,江苏省苏州市吴江区,苏州市吴江区木浪路339号木浪托儿所好运花屋,1
310726,3321,甬城花店,39469,甬城花店,140,5,15867831704,1218952556,1218952556@qq.com,浙江省宁波市鄞州区,宁波市鄞州区桃源街335号,1
273308,332,新疆满天星花店,22140,新疆满天星花店,3807,5,13579948416、13039446498,,mtxszy@qq.com,新疆乌鲁木齐市沙依巴克区,新疆乌鲁木齐经济技术开发区澎湖路88号万达华府小区4区9栋1层商业115室满天星花店（万达店）,2
270507,3222,北京火红新奥鲜花店,22096,戴红,15910,5,13621177511、13391987748,732803558,dhflower@126.com,北京市朝阳区,北京市朝阳区北沙滩桥东南角大屯路南沙滩66号华源冠军城1号楼3单元313,2
276138,332,芜湖茉莉花坊,20386,茉莉花坊,18,5,18955332790,290517645,290517645@qq.com,安徽省芜湖市镜湖区,天置山庄5栋5号门面,2
332739,322111,Lover鲜花店,62225,Lover鲜花店,12966,5,13522543137、15510042573,286658276,286658276@qq.com,北京市朝阳区,双桥国泰百货一层底商,2
211330,3311,长沙鲜花店留香花艺,16575,长沙鲜花店留香花艺,80,5,13272019089,1035032778,1035032778@qq.com,湖南省长沙市开福区,营盘路289号,2
300705,32211,上海疏影鲜花,24528,上海疏影鲜花,11642,5,13166037880、17721121266,2167315519,331222519@qq.com,上海市闵行区,九亭大街921号,2
309439,3221,三华海风鲜花店,37618,林海风,14887,5,15153131252、15668396656,1532808666,1532808666@qq.com,山东省济南市历下区,济南市历下区历山路95号,2
333286,3222111,魔与花艺生活馆,62923,严艳,49,5,13984114693、15885508962,1731232140,1731232140@qq.com,贵州省贵阳市南明区,市府路鲜花超市-1楼B-21,2
300481,322211,洪霏花艺,24255,洪霏花艺,1425,5,15313089291、17710487087,1136623571,1136623571@qq.com,北京市丰台区,丰台区 南四环中路256号,2
306275,322,深圳心情花艺,31396,深圳心情花艺,14067,5,18188627386、13600175155,3171739833,3171739833@qq.com,广东省深圳市福田区,华富村东区,2
305833,32111,鸿鑫鲜花店,30551,鸿鑫花店,9995,5,13711696712、13527897546,1172803693,1172803693@qq.com,广东省广州市越秀区,环市西路61号,3
222175,32111,北京小爽鲜花婚庆工作室,1230,北京小爽鲜花婚庆工作室,1018,5,13691593156、13691593156,1052380114,1052380114@qq.com,北京市西城区,市天宁寺花卉市场鲜花厅9号 10号,3
233705,32111,广州心贝花艺,11074,广州心贝花店,6115,5,13580309721,519866793,519866793@qq.com,广东省广州市天河区,体育西广利55号102,3
294246,322211,杭州鲜花网,12703,杭州鲜花网,10,5,13735972256,526903767,992611266@qq.com,浙江省杭州市江干区,凤起花鸟市场东区,3
310941,32111,佛山家有花满楼,39770,佛山花满楼,5624,5,15818010254,139019603,139019603@qq.com,广东省佛山市南海区,桂城店：桂城北约村住宅新区107号楼一层；顺德店：顺德龙江镇工商业二街12号,3
191719,3222,成都紫轩花坊,22628,成都紫轩花坊,3094,5,18280206850,2907933768,2907933768@qq.com,四川省成都市,肖家河沿巷4号附1号,3
313532,32111,欣爱鲜花速递,42546,薛金苗,7886,5,17310516205、17310516205,3441506736,1945891099@qq.com,北京市海淀区,恩济庄-96号院北门,3
314074,32111,广州同城鲜花配送,43289,鲜花AAA,12963,5,15920185150、18820104916,1302409884,735135802@qq.com,广东省广州市海珠区,客村地铁口旁,3
303686,32221,唐山花道鲜花坊,28023,唐山蜜糖花店,1841,5,18632552141,2901525,2901525@qq.com,河北省唐山市路南区,吉祥路12号,3
310337,32111,玫瑰花艺,38938,苏州玫瑰花艺,12404,5,18550004613,2154886101,2154886101@qq.com,江苏省苏州市姑苏区,江苏省苏州市姑苏区永林二区67幢北少君书法工作室少君书法工作室隔壁玫瑰花坊,3
267773,32111,重庆天际花艺,20783,重庆天际花艺,12371,5,13883044415、15023208088,373905552,373905552@qq.com,重庆市渝北区,回兴工业园区宝圣西路133号,4
245067,32,杭州陌上花开（婚庆花艺连锁）,21988,18657120230,8161,5,13282000270、18658191600,1169060022,136748864@qq.com,浙江省杭州市下城区,文晖路212号,4
308509,3211,京燕鲜花店,36071,京燕鲜花店,12111,5,17611168399、17190186810,110867444,110867444@qq.com,北京市丰台区,丰台区梅市口路甲10号院,4
277843,3211,爱清清鲜花店,22641,爱清清鲜花,8292,5,13711287223,105716745,,广东省广州市天河区,中山大道棠下恒东商务酒店旁,4
248438,32211,东莞半边天花艺,21485,东莞半边天花艺,2308,5,13725783377、13725783377,569137146,569137146@qq.com,广东省东莞市南城区,银丰路29号,4
266821,3211,西安浪漫满屋,22280,13379288771,7799,5,17766662168,929748906,929748906@qq.com,陕西省西安市未央区,东二环北东元路248号,4
305011,3222,常州米伦蛋糕鲜花,29612,常州米伦蛋糕鲜花,71,5,13861278322、15195032047,43522608,43522608@qq.com,江苏省常州市武进区,金鸡东路7-16,4
310908,322,银川花之语鲜花,39725,银川花之语鲜花,184,5,18995059156、18995059156,,447929083@qq.com,宁夏银川市兴庆区,胜利南街628号,4
307137,322111,福州益辉鲜花坊,33390,福州益辉鲜花坊,1167,5,13123166251、18559891172,3601775731,254613559@qq.com,福建省福州市台江区,交通路112号（交通路小学旁）,4
305976,3211,花语嫣然鲜花工坊,30847,花语嫣然鲜花工坊,11090,5,13705172524、13851894160,244256257,244256257@qq.com,江苏省南京市建邺区,建邺区茶南,4
302379,321,上海成林花艺,26542,上海成林花艺,10433,5,13246145627、13701624505,3261546928,shnaghaichenglin@126.com,上海市长宁区,金汇路528号,5
304142,3222,明红花店,28536,开心一笑19788,299,5,13018983078、13018983078,595310657,595310657@qq.com,浙江省杭州市拱墅区,米市巷街道湖墅南路335号明红花店,5
301319,3221,南京品尚鲜花,25262,绿园鲜花,4500,5,13851624638、13905172385,981212780,981212780@qq.com,江苏省南京市秦淮区,江苏省南京市秦淮区仙鹤街126号品尚鲜花,5
238045,3211,上海258鲜花,22918,上海258鲜花,5263,5,18221496557,1275888453,1275888453@qq.com,上海市普陀区,曹安公路1777号美城广场B区一楼1038-,5
278987,322,中山小榄鲜花店,10992,中山小榄鲜花店,5996,5,15016111338,513556423,958767638@qq.com,广东省中山市中山市市辖区,中山市市辖区广东省中山市小榄镇红山路46号(小榄人民公园西门)菊城酒店中山市小榄菊城大道28兮,5
421404,321,青海一间花店,159967,q162199849,9445,5,18097079102、18389925523,1394070160,1067549752@qq.com,青海省西宁市城西区,西宁市城西区西关大街59号,5
218804,322111,银川七彩鲜花,21989,宁夏银川七彩鲜花,45,5,18695133554,65359734,he365479994@163.com,宁夏银川市兴庆区,银川市民族南街星光华府7-2号（大致民族南街和治平路交接处往,5
303938,11,芊芊花坊,28308,芊芊花坊,13,5,13998018619,664846187,664846187@qq.com,辽宁省鞍山市铁东区,鞍山市铁东区站前街14栋1号,5
289155,321,杭州逸家美花店,11328,逸家美花店,7725,5,15372056926、15958039212,3249501690,516358062@QQ.COM,浙江省杭州市,拱墅区丰庆路710号对面（世纪联华对面）,5
,3211,,,,10932,5,18701993137、18516756456,,,上海市徐汇区,,5
301025,321,馨爱鲜花,24904,馨爱鲜花,4869,5,15122435588,2667119830,2667119830@qq.com,天津市红桥区,光荣道栖霞里底商25号,6
231472,322111,宁波市海曙情缘平价鲜花店,21854,宁波情缘花艺,162,5,13008997747、18968296987,785826269,785826269@qq.com,浙江省宁波市海曙区,南苑街30号（江东区江北区鄞州区）,6
415038,321,大大鲜花店,145537,大大鲜花店,9620,5,15652359167,382105939,382105939@qq.com,北京市朝阳区,化工路59号,6
212378,32211,辽宁大连瓦房店永远鲜花蛋糕,18966,永远鲜花,769,5,13700116675,35251121,35251121@qq.com,辽宁省大连市瓦房店市,共济街---五一路南行400M,6
302014,32,深圳花店,26120,信望爱鲜花店,7855,5,13128949537,2270273803,2270273803@qq.com,广东省深圳市福田区,八卦岭,6
249676,32211,荥阳市爱尚花艺,19836,wpf0429,284,5,15537136009,712392922,712392922@qq.com,河南郑州荥阳市,工业路与康泰路交叉口向南100米路东,6
